clock_offset,imu_longitude,imu_latitude,imu_rel_height,roll,pitch,yaw,vel_north,vel_east,vel_down,vel_composite,vel_horizontal,yaw_UnWrapped,yaw360,imu_pos_north,imu_pos_east,imu_pos_down,imu_calc_height,imu_calc_lat,imu_calc_long,dist_travelled,gps_longitude,gps_latitude,gps_timestamp,gps_heightMSL,gps_vel_north,gps_vel_east,gps_vel_down,control_mode,motor_state
36.014,-106.21652403140206,39.96080128373053,9.887451359375063,8.848115281994877,-17.798071961610905,-166.720287871547,-11.282641,-2.3372245,-0.21213311,11.524132,11.522179486416078,-166.720287871547,193.279712128453,-45.09045335313499,-5.993498275922297,-12.27579527666266,12.27579527666266,39.96078851774828,-106.21652401461742,276.1773881202391,-106.2165209,39.9608138,2018-06-19 20:09:01+00:00,2497.511,-11.12,-2.33,-0.16,GPS_Atti,1.0
36.054,-106.21652674796108,39.960791578569086,11.158203312500063,9.460950379818003,-18.511985002829245,-166.51876830032094,-11.336792,-2.3380597,-0.15521854,11.576419,11.57537817450525,-166.51876830032094,193.48123169967903,-46.26843379448769,-6.236978878867353,-12.29492630671511,12.29492630671511,39.960777923913895,-106.2165268713822,277.281110286191,-106.2165209,39.9608138,2018-06-19 20:09:01+00:00,2497.511,-11.12,-2.33,-0.16,GPS_Atti,1.0
36.145,-106.21652674796108,39.960791578569086,11.158203312500063,9.460950379818003,-18.511985002829245,-166.51876830032094,-11.336792,-2.3380597,-0.15521854,11.576419,11.57537817450525,-166.51876830032094,193.48123169967903,-46.26843379448769,-6.236978878867353,-12.29492630671511,12.29492630671511,39.960777923913895,-106.2165268713822,277.281110286191,-106.2165209,39.9608138,2018-06-19 20:09:01+00:00,2497.511,-11.12,-2.33,-0.16,GPS_Atti,1.0
36.185,-106.21652962826757,39.96078085207361,11.228271671875063,9.6142291932724,-18.589328121501214,-166.4614707989221,-11.383069,-2.3473551,-0.09590425,11.622974,11.622578686640432,-166.4614707989221,193.5385292010779,-47.451297653074334,-6.480915574229561,-12.308000509850713,12.308000509850713,39.96076728616181,-106.21652973349742,278.49884291177244,-106.2165209,39.9608138,2018-06-19 20:09:01+00:00,2497.511,-11.12,-2.33,-0.16,GPS_Atti,1.0
36.222,-106.21652962826757,39.96078085207361,11.228271671875063,9.6142291932724,-18.589328121501214,-166.4614707989221,-11.383069,-2.3473551,-0.09590425,11.622974,11.622578686640432,-166.4614707989221,193.5385292010779,-47.451297653074334,-6.480915574229561,-12.308000509850713,12.308000509850713,39.96076728616181,-106.21652973349742,278.49884291177244,-106.2165263,39.9607935,2018-06-19 20:09:01+00:00,2497.57,-11.27,-2.34,-0.21,GPS_Atti,1.0
36.262,-106.21653237977485,39.960770595117175,10.890869328125063,9.144175283597326,-17.627472279872926,-166.69308919014512,-11.447698,-2.3576102,-0.15828902,11.689018,11.687946494646472,-166.69308919014512,193.30691080985488,-48.64063233078127,-6.726013714414853,-12.321242328384,12.321242328384,39.96075659021618,-106.21653260923898,279.66322414371285,-106.2165263,39.9607935,2018-06-19 20:09:01+00:00,2497.57,-11.27,-2.34,-0.21,GPS_Atti,1.0
36.351,-106.21653237977485,39.960770595117175,10.890869328125063,9.144175283597326,-17.627472279872926,-166.69308919014512,-11.447698,-2.3576102,-0.15828902,11.689018,11.687946494646472,-166.69308919014512,193.30691080985488,-48.64063233078127,-6.726013714414853,-12.321242328384,12.321242328384,39.96075659021618,-106.21653260923898,279.66322414371285,-106.2165263,39.9607935,2018-06-19 20:09:01+00:00,2497.57,-11.27,-2.34,-0.21,GPS_Atti,1.0
36.393,-106.21653527398016,39.9607598954324,10.782715031250063,9.330156615591177,-17.818314261246524,-166.63415196644127,-11.511223,-2.3768086,-0.16895927,11.755255,11.754040611769426,-166.63415196644127,193.36584803355873,-49.83664298926965,-6.972646191508806,-12.338289839106023,12.338289839106023,39.96074583423192,-106.21653550298204,280.8782768575058,-106.2165263,39.9607935,2018-06-19 20:09:01+00:00,2497.57,-11.27,-2.34,-0.21,GPS_Atti,1.0
36.43,-106.21653527398016,39.9607598954324,10.782715031250063,9.330156615591177,-17.818314261246524,-166.63415196644127,-11.511223,-2.3768086,-0.16895927,11.755255,11.754040611769426,-166.63415196644127,193.36584803355873,-49.83664298926965,-6.972646191508806,-12.338289839106023,12.338289839106023,39.96074583423192,-106.21653550298204,280.8782768575058,-106.216532,39.9607729,2018-06-19 20:09:02+00:00,2497.589,-11.4,-2.39,-0.19,GPS_Atti,1.0
36.471,-106.21653820299971,39.96074927693534,11.461181828125063,9.577176998648826,-18.20381805163664,-166.5623574016749,-11.556411,-2.388345,-0.1213762,11.801252,11.80062802470037,-166.5623574016749,193.4376425983251,-51.0379649127201,-7.2208070404376254,-12.35341000177918,12.35341000177918,39.960735030482226,-106.21653841465664,282.08510158614143,-106.216532,39.9607729,2018-06-19 20:09:02+00:00,2497.589,-11.4,-2.39,-0.19,GPS_Atti,1.0
